Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7",C_Disc_D5.0mm_W2.5mm_P2.50mm,7,100n,
J1,RCBus_80p_Medium,1,RCBus_80PIN_68000,
"J10, J11, J12",PinHeader_1x06_P2.54mm_Vertical,3,Conn_01x06,
"J2, J3, J4, J5, J6, J7, J8, J9",PinHeader_1x03_P2.54mm_Vertical,8,Conn_01x03,
U1,DIP-14_W7.62mm,1,74LS125,
U2,DIP-16_W7.62mm,1,74LS139,
"U3, U4",DIP-32_W15.24mm,2,SST39SF040,
U5,DIP-16_W7.62mm,1,74LS138,
"U6, U7",DIP-32_W15.24mm,2,AS6C4008-55PCN,
