"Reference","Value","Datasheet","Footprint","Qty","Description"
"C1,C2,C3,C4,C5,C6,C7","100n","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","7","Unpolarized ceramic capacitor"
"J1","RCBus_80PIN_68000","~","MyLibrary2023:RCBus_80p_Medium","1","Generic connector, double row, 02x40, right angle"
"J2,J3,J4,J5,J6,J7,J8,J9","Conn_01x03","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","8","Generic connector, single row, 01x03"
"J10,J11,J12","Conn_01x06","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","3","Generic connector, single row, 01x06"
"U1","74LS125","http://www.ti.com/lit/gpn/sn74LS125","Package_DIP:DIP-14_W7.62mm","1","Quad buffer 3-State outputs"
"U2","74LS139","http://www.ti.com/lit/ds/symlink/sn74ls139a.pdf","Package_DIP:DIP-16_W7.62mm","1","Dual Decoder 1 of 4, Active low outputs"
"U3,U4","SST39SF040","http://ww1.microchip.com/downloads/en/DeviceDoc/25022B.pdf","MyLibrary2023:DIP-32_W15.24mm","2","Silicon Storage Technology (SSF) 512k x 8 Flash ROM"
"U5","74LS138","http://www.ti.com/lit/gpn/sn74LS138","Package_DIP:DIP-16_W7.62mm","1","Decoder 3 to 8 active low outputs"
"U6,U7","AS6C4008-55PCN","https://www.alliancememory.com/wp-content/uploads/pdf/AS6C4008.pdf","MyLibrary2023:DIP-32_W15.24mm","2","512K x 8 Low Power CMOS RAM, DIP-32"
