Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C5, C6, C8, C9",C_Disc_D5.0mm_W2.5mm_P2.50mm,7,100n,
J2,RCBus_80p_Medium,1,RCBus_80PIN_68000,
U1,DIP-14_W7.62mm,1,74LS125,
"U3, U6",DIP-28_W15.24mm,2,W27C512,
"U4, U5",DIP-32_W15.24mm,2,AS6C4008-55PCN,
U8,DIP-16_W7.62mm,1,74LS138,
U9,DIP-16_W7.62mm,1,74LS139,
